country,year,co2,population,surface_km2,co2_per_km2
Afghanistan,1950,0.0840,7776182,652230,0.0000001288
Afghanistan,1951,0.0920,7879343,652230,0.0000001411
Afghanistan,1952,0.0920,7987783,652230,0.0000001411
Afghanistan,1953,0.1060,8096703,652230,0.0000001625
Afghanistan,1954,0.1060,8207953,652230,0.0000001625
Afghanistan,1955,0.1540,8326981,652230,0.0000002361
Afghanistan,1956,0.1830,8454302,652230,0.0000002806
Afghanistan,1957,0.2930,8588340,652230,0.0000004492
Afghanistan,1958,0.3300,8723412,652230,0.0000005060
Afghanistan,1959,0.3850,8869271,652230,0.0000005903
Afghanistan,1960,0.4140,9035048,652230,0.0000006347
Afghanistan,1961,0.4910,9214082,652230,0.0000007528
Afghanistan,1962,0.6890,9404411,652230,0.0000010564
Afghanistan,1963,0.7070,9604491,652230,0.0000010840
Afghanistan,1964,0.8390,9814318,652230,0.0000012864
Afghanistan,1965,1.0070,10036003,652230,0.0000015439
Afghanistan,1966,1.0910,10266397,652230,0.0000016727
Afghanistan,1967,1.2820,10505961,652230,0.0000019656
Afghanistan,1968,1.2230,10756924,652230,0.0000018751
Afghanistan,1969,0.9410,11017417,652230,0.0000014427
Afghanistan,1970,1.6700,11290135,652230,0.0000025604
Afghanistan,1971,1.8940,11567672,652230,0.0000029039
Afghanistan,1972,1.5300,11853697,652230,0.0000023458
Afghanistan,1973,1.6350,12158000,652230,0.0000025068
Afghanistan,1974,1.9130,12469127,652230,0.0000029330
Afghanistan,1975,2.1210,12773967,652230,0.0000032519
Afghanistan,1976,1.9810,13059861,652230,0.0000030373
Afghanistan,1977,2.3840,13340758,652230,0.0000036552
Afghanistan,1978,2.1530,13611445,652230,0.0000033010
Afghanistan,1979,2.2330,13655572,652230,0.0000034236
Afghanistan,1980,1.7560,13169312,652230,0.0000026923
Afghanistan,1981,1.9780,11937587,652230,0.0000030327
Afghanistan,1982,2.0950,10991382,652230,0.0000032121
Afghanistan,1983,2.5200,10917986,652230,0.0000038637
Afghanistan,1984,2.8220,11190220,652230,0.0000043267
Afghanistan,1985,3.5010,11426855,652230,0.0000053677
Afghanistan,1986,3.1340,11420074,652230,0.0000048051
Afghanistan,1987,3.1140,11387824,652230,0.0000047744
Afghanistan,1988,2.8570,11523299,652230,0.0000043804
Afghanistan,1989,2.7650,11874088,652230,0.0000042393
Afghanistan,1990,2.0240,12045664,652230,0.0000031032
Afghanistan,1991,1.9140,12238879,652230,0.0000029345
Afghanistan,1992,1.4820,13278982,652230,0.0000022722
Afghanistan,1993,1.4870,14943174,652230,0.0000022799
Afghanistan,1994,1.4540,16250799,652230,0.0000022293
Afghanistan,1995,1.4170,17065836,652230,0.0000021725
Afghanistan,1996,1.3700,17763265,652230,0.0000021005
Afghanistan,1997,1.3040,18452100,652230,0.0000019993
Afghanistan,1998,1.2790,19159996,652230,0.0000019610
Afghanistan,1999,1.0920,19887791,652230,0.0000016743
Afghanistan,2000,1.0470,20130334,652230,0.0000016053
Afghanistan,2001,1.0690,20284303,652230,0.0000016390
Afghanistan,2002,1.3410,21378123,652230,0.0000020560
Afghanistan,2003,1.5600,22733054,652230,0.0000023918
Afghanistan,2004,1.2370,23560656,652230,0.0000018966
Afghanistan,2005,1.8900,24404574,652230,0.0000028978
Afghanistan,2006,2.1590,25424100,652230,0.0000033102
Afghanistan,2007,2.8000,25909852,652230,0.0000042930
Afghanistan,2008,4.2540,26482629,652230,0.0000065222
Afghanistan,2009,6.3920,27466101,652230,0.0000098002
Afghanistan,2010,8.3650,28284088,652230,0.0000128252
Afghanistan,2011,11.8380,29347709,652230,0.0000181500
Afghanistan,2012,10.0350,30560036,652230,0.0000153857
Afghanistan,2013,9.2290,31622708,652230,0.0000141499
Afghanistan,2014,9.0860,32792527,652230,0.0000139307
Afghanistan,2015,9.6700,33831765,652230,0.0000148261
Afghanistan,2016,8.9060,34700614,652230,0.0000136547
Afghanistan,2017,9.6770,35688942,652230,0.0000148368
Afghanistan,2018,10.6020,36743040,652230,0.0000162550
Afghanistan,2019,10.8250,37856126,652230,0.0000165969
Afghanistan,2020,11.6060,39068978,652230,0.0000177943
Afghanistan,2021,10.2720,40000411,652230,0.0000157490
Afghanistan,2022,10.5580,40578846,652230,0.0000161875
Afghanistan,2023,11.0200,41454762,652230,0.0000168959
Albania,1950,0.2970,1247854,28748,0.0000103312
Albania,1951,0.4030,1276364,28748,0.0000140184
Albania,1952,0.3740,1308369,28748,0.0000130096
Albania,1953,0.4140,1343582,28748,0.0000144010
Albania,1954,0.5020,1381087,28748,0.0000174621
Albania,1955,0.6630,1418855,28748,0.0000230625
Albania,1956,0.8390,1456823,28748,0.0000291846
Albania,1957,1.5060,1497952,28748,0.0000523863
Albania,1958,1.2010,1543981,28748,0.0000417768
Albania,1959,1.4430,1595023,28748,0.0000501948
Albania,1960,2.0220,1649393,28748,0.0000703353
Albania,1961,2.2790,1698800,28748,0.0000792751
Albania,1962,2.4620,1743738,28748,0.0000856407
Albania,1963,2.0810,1791289,28748,0.0000723876
Albania,1964,2.0150,1841445,28748,0.0000700918
Albania,1965,2.1720,1894318,28748,0.0000755531
Albania,1966,2.5500,1950047,28748,0.0000887018
Albania,1967,2.6770,2008523,28748,0.0000931195
Albania,1968,3.0690,2068849,28748,0.0001067553
Albania,1969,3.2410,2126885,28748,0.0001127383
Albania,1970,3.7390,2181227,28748,0.0001300612
Albania,1971,4.3480,2234994,28748,0.0001512453
Albania,1972,5.6380,2289267,28748,0.0001961180
Albania,1973,5.2860,2344108,28748,0.0001838737
Albania,1974,4.3420,2399398,28748,0.0001510366
Albania,1975,4.5910,2454864,28748,0.0001596981
Albania,1976,4.9470,2510582,28748,0.0001720815
Albania,1977,5.7170,2566601,28748,0.0001988660
Albania,1978,6.4910,2624621,28748,0.0002257896
Albania,1979,7.5840,2681391,28748,0.0002638097
Albania,1980,5.1710,2735423,28748,0.0001798734
Albania,1981,7.3400,2790413,28748,0.0002553221
Albania,1982,7.3080,2846910,28748,0.0002542090
Albania,1983,7.6310,2905129,28748,0.0002654446
Albania,1984,7.8260,2964961,28748,0.0002722276
Albania,1985,7.8820,3026245,28748,0.0002741756
Albania,1986,8.0580,3087659,28748,0.0002802978
Albania,1987,7.4470,3148843,28748,0.0002590441
Albania,1988,7.3290,3212924,28748,0.0002549395
Albania,1989,8.9860,3260370,28748,0.0003125783
Albania,1990,5.5210,3277964,28748,0.0001920481
Albania,1991,4.2900,3282607,28748,0.0001492278
Albania,1992,2.5170,3282506,28748,0.0000875539
Albania,1993,2.3380,3277830,28748,0.0000813274
Albania,1994,1.9240,3269417,28748,0.0000669264
Albania,1995,2.0890,3258571,28748,0.0000726659
